,Tweet ID,User,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Date
103,1006300819170324480,CBS,RT @TheNeighborhood: Welcome to #TheNeighborhood,0.5093,0.171,0.829,0.0,4,Mon Jun 11 22:23:06 +0000 2018
104,1006250118985576449,CBS,In case you missed it,-0.296,0.0,0.833,0.167,5,Mon Jun 11 19:01:38 +0000 2018
105,1006174364700561408,CBS,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,0.0,0.0,1.0,0.0,6,Mon Jun 11 14:00:37 +0000 2018
106,1006058348347830272,CBS,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,0.0,0.0,1.0,0.0,7,Mon Jun 11 06:19:36 +0000 2018
107,1006054595372638209,CBS,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,0.4767,0.22,0.78,0.0,8,Mon Jun 11 06:04:41 +0000 2018
108,1006010773292777472,CBS,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,0.8478,0.406,0.594,0.0,9,Mon Jun 11 03:10:33 +0000 2018
109,1006008644402438146,CBS,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,0.92,0.463,0.537,0.0,10,Mon Jun 11 03:02:06 +0000 2018
110,1006007741473669121,CBS,RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. ,0.0,0.0,1.0,0.0,11,Mon Jun 11 02:58:30 +0000 2018
111,1006007276820287488,CBS,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better ,0.4404,0.153,0.847,0.0,12,Mon Jun 11 02:56:40 +0000 2018
112,1006007152752803840,CBS,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,0.836,0.467,0.533,0.0,13,Mon Jun 11 02:56:10 +0000 2018
113,1006006356392853504,CBS,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,0.0,0.0,1.0,0.0,14,Mon Jun 11 02:53:00 +0000 2018
114,1006004969202335744,CBS,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,0.6369,0.318,0.682,0.0,15,Mon Jun 11 02:47:29 +0000 2018
115,1006004300206575618,CBS,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,0.7978,0.543,0.457,0.0,16,Mon Jun 11 02:44:50 +0000 2018
116,1006004244384641024,CBS,The feeling when you win a Tony. ,0.9523,0.55,0.45,0.0,17,Mon Jun 11 02:44:37 +0000 2018
117,1006001361794658304,CBS,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,0.5994,0.302,0.698,0.0,18,Mon Jun 11 02:33:09 +0000 2018
118,1006000391387938816,CBS,I'm a living example of how theatre can change you ,0.4215,0.123,0.877,0.0,19,Mon Jun 11 02:29:18 +0000 2018
119,1005999041455329281,CBS,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,0.8932,0.517,0.483,0.0,20,Mon Jun 11 02:23:56 +0000 2018
120,1005998314024677377,CBS,RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast,0.0,0.0,1.0,0.0,21,Mon Jun 11 02:21:03 +0000 2018
121,1005997067766882304,CBS,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,0.0,0.0,1.0,0.0,22,Mon Jun 11 02:16:06 +0000 2018
122,1005995799812059136,CBS,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,0.8908,0.491,0.509,0.0,23,Mon Jun 11 02:11:03 +0000 2018
123,1005994473598287872,CBS, ,0.0,0.0,1.0,0.0,24,Mon Jun 11 02:05:47 +0000 2018
124,1005993900723482624,CBS,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,0.4926,0.262,0.738,0.0,25,Mon Jun 11 02:03:31 +0000 2018
125,1005992717258649601,CBS,@writerlindsayb You're welcome! #TonyAwards,0.5093,0.523,0.477,0.0,26,Mon Jun 11 01:58:48 +0000 2018
126,1005991328277094401,CBS,RT @hjmayer8: I sure do love @DearEvanHansen ,0.7579,0.565,0.435,0.0,27,Mon Jun 11 01:53:17 +0000 2018
127,1005990820535660544,CBS,RT @Valerie4815: What a birthday present,0.6467,0.248,0.752,0.0,28,Mon Jun 11 01:51:16 +0000 2018
128,1005987576509894657,CBS,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,0.0,0.0,1.0,0.0,29,Mon Jun 11 01:38:23 +0000 2018
129,1005987381843931138,CBS,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,0.636,0.276,0.724,0.0,30,Mon Jun 11 01:37:36 +0000 2018
130,1005985702780198913,CBS,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,0.8834,0.563,0.437,0.0,31,Mon Jun 11 01:30:56 +0000 2018
131,1005985305164279808,CBS,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,0.0,0.0,1.0,0.0,32,Mon Jun 11 01:29:21 +0000 2018
132,1005984473362518016,CBS,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,0.7351,0.296,0.625,0.079,33,Mon Jun 11 01:26:03 +0000 2018
133,1005984457810051072,CBS,RT @KatLargent: MAGIC #TonyAwards,0.0,0.0,1.0,0.0,34,Mon Jun 11 01:25:59 +0000 2018
134,1005984149797154816,CBS,Such a touching moment at the #TonyAwards. ,0.0,0.0,1.0,0.0,35,Mon Jun 11 01:24:46 +0000 2018
135,1005984006565793792,CBS,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,0.4019,0.162,0.838,0.0,36,Mon Jun 11 01:24:12 +0000 2018
